"baris_sumber_excel","nomor_sumber","nama_rumah","harga","luas_bangunan","luas_tanah","kamar_tidur","kamar_mandi","jumlah_garasi"
277,276,"Rumah Lama Tebet Timur",4000000000,200,146,3,1,1
1009,1008,"Di Kebun Baru Rumah Terawat, Area Strategis",4000000000,139,230,4,4,1
