"id_data","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","garasi","kota","harga_per_m2_tanah","harga_per_m2_bangunan","flag_data_tidak_valid","flag_outlier_iqr_harga","flag_outlier_iqr_luas_tanah","flag_outlier_iqr_luas_bangunan","flag_outlier_iqr_kamar_tidur","flag_outlier_iqr_kamar_mandi","flag_outlier_iqr"
"JKS0603",30000000000,1017,500,5,3,"ada","Jakarta Selatan",29498525.07,60000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0604",4500000000,258,150,2,2,"tidak_ada","Jakarta Selatan",17441860.47,30000000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"JKS0605",30000000000,1500,600,7,7,"ada","Jakarta Selatan",20000000,50000000,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"JKS0606",28000000000,1100,800,5,4,"ada","Jakarta Selatan",25454545.45,35000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0607",14200000000,474,455,3,3,"ada","Jakarta Selatan",29957805.91,31208791.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0608",29000000000,1019,800,6,4,"ada","Jakarta Selatan",28459273.8,36250000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0609",6900000000,389,400,4,3,"ada","Jakarta Selatan",17737789.2,17250000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0610",21900000000,377,266,4,3,"ada","Jakarta Selatan",58090185.68,82330827.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0611",14500000000,212,363,3,4,"ada","Jakarta Selatan",68396226.42,39944903.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0612",5300000000,129,148,3,3,"tidak_ada","Jakarta Selatan",41085271.32,35810810.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0613",7900000000,181,330,3,4,"tidak_ada","Jakarta Selatan",43646408.84,23939393.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0614",4500000000,151,200,4,4,"ada","Jakarta Selatan",29801324.5,22500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0615",17000000000,500,600,4,3,"tidak_ada","Jakarta Selatan",34000000,28333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0616",5900000000,160,176,4,3,"ada","Jakarta Selatan",36875000,33522727.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0617",20000000000,1026,750,6,4,"ada","Jakarta Selatan",19493177.39,26666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0618",2500000000,94,180,4,4,"tidak_ada","Jakarta Selatan",26595744.68,13888888.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0619",18500000000,421,450,4,3,"ada","Jakarta Selatan",43942992.87,41111111.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0620",20000000000,472,650,4,3,"tidak_ada","Jakarta Selatan",42372881.36,30769230.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0621",6500000000,295,300,4,4,"ada","Jakarta Selatan",22033898.31,21666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0622",5000000000,225,245,3,3,"tidak_ada","Jakarta Selatan",22222222.22,20408163.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0623",15000000000,500,600,5,5,"ada","Jakarta Selatan",30000000,25000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0624",10000000000,246,350,3,3,"ada","Jakarta Selatan",40650406.5,28571428.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0625",18000000000,700,500,5,4,"ada","Jakarta Selatan",25714285.71,36000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0626",36000000000,1147,900,5,6,"ada","Jakarta Selatan",31386224.93,40000000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"JKS0627",35500000000,500,525,4,4,"ada","Jakarta Selatan",71000000,67619047.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0628",5250000000,190,320,4,3,"ada","Jakarta Selatan",27631578.95,16406250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0629",13500000000,330,520,3,2,"ada","Jakarta Selatan",40909090.91,25961538.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0630",10700000000,604,550,5,5,"ada","Jakarta Selatan",17715231.79,19454545.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0631",18000000000,415,470,5,4,"ada","Jakarta Selatan",43373493.98,38297872.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0632",21000000000,817,500,4,4,"ada","Jakarta Selatan",25703794.37,42000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0633",10000000000,227,400,4,3,"ada","Jakarta Selatan",44052863.44,25000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0634",6500000000,215,320,4,3,"ada","Jakarta Selatan",30232558.14,20312500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0635",4700000000,260,280,6,4,"ada","Jakarta Selatan",18076923.08,16785714.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0636",19750000000,500,536,5,5,"ada","Jakarta Selatan",39500000,36847014.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0637",30000000000,317,450,4,4,"ada","Jakarta Selatan",94637223.97,66666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0638",15000000000,585,300,4,2,"tidak_ada","Jakarta Selatan",25641025.64,50000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0639",25000000000,1050,1000,4,4,"tidak_ada","Jakarta Selatan",23809523.81,25000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0640",11100000000,230,568,4,4,"ada","Jakarta Selatan",48260869.57,19542253.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0641",20000000000,780,500,4,3,"tidak_ada","Jakarta Selatan",25641025.64,40000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0642",5300000000,330,250,10,4,"tidak_ada","Jakarta Selatan",16060606.06,21200000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"JKS0643",39000000000,973,1000,4,4,"tidak_ada","Jakarta Selatan",40082219.94,39000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0644",38000000000,1180,800,8,9,"ada","Jakarta Selatan",32203389.83,47500000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"JKS0645",18000000000,216,384,4,4,"ada","Jakarta Selatan",83333333.33,46875000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0646",23000000000,558,563,8,6,"ada","Jakarta Selatan",41218637.99,40852575.49,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"JKS0647",26000000000,1083,1200,6,6,"ada","Jakarta Selatan",24007386.89,21666666.67,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"JKS0648",23000000000,693,474,5,4,"ada","Jakarta Selatan",33189033.19,48523206.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0649",4750000000,161,250,4,2,"tidak_ada","Jakarta Selatan",29503105.59,19000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0650",15900000000,400,500,4,5,"ada","Jakarta Selatan",39750000,31800000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0651",5500000000,230,300,3,3,"tidak_ada","Jakarta Selatan",23913043.48,18333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0652",9000000000,159,380,3,3,"ada","Jakarta Selatan",56603773.58,23684210.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0653",19000000000,817,600,5,4,"ada","Jakarta Selatan",23255813.95,31666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0654",12000000000,600,500,4,3,"ada","Jakarta Selatan",20000000,24000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
