"id_data","nomor_sumber","nama_rumah","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","jumlah_garasi","garasi","harga_per_m2_tanah","harga_per_m2_bangunan","flag_data_tidak_valid","flag_outlier_iqr_harga","flag_outlier_iqr_luas_tanah","flag_outlier_iqr_luas_bangunan","flag_outlier_iqr_kamar_tidur","flag_outlier_iqr_kamar_mandi","flag_outlier_iqr_jumlah_garasi","flag_outlier_iqr"
"RMT0581",582,"Very Cheap House Tebet",6500000000,338,219,5,3,1,"ada",19230769.23,29680365.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0582",583,"Tebet rumah full furnished, jakarta selatan",7000000000,166,210,6,6,3,"ada",42168674.7,33333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"RMT0583",584,"The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan",6100000000,130,375,6,5,3,"ada",46923076.92,16266666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0584",585,"The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan",4000000000,160,200,5,4,2,"ada",25000000,20000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0585",586,"Rumah siap huni di tebet dalam",8000000000,350,470,7,6,2,"ada",22857142.86,17021276.6,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"RMT0586",587,"Rumah Tua Kebon Baru Tebet Jakarta Selatan",10000000000,775,674,4,3,0,"tidak_ada",12903225.81,14836795.25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"RMT0587",588,"Rumah Tebet Ada Kamar Tidur",3700000000,370,400,6,2,0,"tidak_ada",10000000,9250000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0588",589,"Rumah Area Tebet Ada Kamar Tidur",3000000000,120,192,4,3,2,"ada",25000000,15625000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0589",590,"Dijual Rumah Gudang Peluru Tebet Lokasi Premium Nyaman Jalan Lebar",8250000000,290,460,6,5,2,"ada",28448275.86,17934782.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0590",591,"Rumah di Tebet Timur Dalam 7 i, Luas Tanah 179 m2, Lebar Muka 12 meter",3300000000,179,160,4,2,2,"ada",18435754.19,20625000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0591",592,"Dijual Rumah Di Tebet",11000000000,400,500,6,3,4,"ada",27500000,22000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0592",593,"Dijual Rumah Baru Siap Huni Daerah Tebet , Jakarta Selatan",7000000000,166,220,4,4,2,"ada",42168674.7,31818181.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0593",594,"Tebet Timur Rumah Homies Termurah Cepat",2990000000,156,162,6,4,2,"ada",19166666.67,18456790.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0594",595,"DIJUAL Rumah 2 Lantai, Lokasi Sangat Strategis, Dekat Tol Cawang dan Stasiun Cawang",3600000000,135,125,5,3,2,"ada",26666666.67,28800000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0595",596,"Dijual Murah Rumah Di Jln Keselamatan Tebet Jakarta Selatan",2650000000,202,190,4,2,4,"ada",13118811.88,13947368.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0596",597,"Rumah Hoky Lokasi Strategis Di Belakang Hotel Haris Tebet",2650000000,202,180,4,2,4,"ada",13118811.88,14722222.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0597",598,"Rumah 2 Lantai Siap Huni di Bilangan Tebet",2700000000,122,200,5,3,1,"ada",22131147.54,13500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0598",599,"Rumah Di Tebet Raya, Area Komersial, Keluar Ijin Domisili, Strategis",22000000000,520,500,5,4,4,"ada",42307692.31,44000000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0599",600,"Rumah Tebet Dengan Lokasi Strategis Jalan Lebar",2800000000,98,150,4,3,1,"ada",28571428.57,18666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0600",601,"Djual rumah di tebet jakarta selatan luas",9200000000,700,450,8,5,2,"ada",13142857.14,20444444.44,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0601",602,"Rumah jual Tebet Barat",6000000000,250,150,4,4,2,"ada",24000000,40000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0602",603,"Rumah Dijual Murah Lokasi Strategis Di Kebon Baru, Tebet - Jakarta Selatan",1000000000,128,140,5,3,1,"ada",7812500,7142857.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0603",604,"Brand New House At Tebet Barat",14800000000,310,500,3,3,4,"ada",47741935.48,29600000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0604",605,"Dijual Rumah Di tebet , Jakarta Selatan Cocok Untuk Ruang Usaha",7500000000,280,200,5,5,2,"ada",26785714.29,37500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0605",606,"Tebet rumah classic cocok buat comersial, jakarta selatan",20000000000,547,700,6,5,6,"ada",36563071.3,28571428.57,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"RMT0606",607,"TEBET Rumah Nyaman Siap Huni dekat Kawasan Kuliner Tebet",1999000000,133,125,4,2,1,"ada",15030075.19,15992000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0607",608,"Rumah di Tebet Timur, SHM, Dekat ke Bandara Halim, Mall Kota Kasablanka dan Dekat Pintu Tol Pancoran",1950000000,130,125,4,2,1,"ada",15000000,15600000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0608",609,"Townhouse Bidakara Mewah Nyaman Di Jakarta Selatan 4 Br",11500000000,208,600,4,5,4,"ada",55288461.54,19166666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0609",610,"Rumah hook dijual, sangat strategis di Tebet",2400000000,154,147,3,2,1,"ada",15584415.58,16326530.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0610",611,"Rumah Cantik Full Renov Tebet Timur",3100000000,90,140,3,2,2,"ada",34444444.44,22142857.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0611",612,"Rumah Siap Huni Di Tebet - Jakarta Selatan",4600000000,184,250,4,3,2,"ada",25000000,18400000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0612",613,"Dijual Rumah Lama Tebet Barat Lokasi Strategis Jalan 1 Mobil",3000000000,135,140,3,2,1,"ada",22222222.22,21428571.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0613",614,"Dijual Rumah Baru 2 lantai Di Tebet",3200000000,86,120,5,4,2,"ada",37209302.33,26666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0614",615,"Rumah Asri di jalan utama tebet",15000000000,400,500,9,6,4,"ada",37500000,30000000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"RMT0615",616,"Rumah tebet timur dalam, depan taman",4500000000,140,140,3,2,1,"ada",32142857.14,32142857.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0616",617,"Dijual rumah hook asri Bangunan di gudang peluru",6800000000,290,480,6,3,4,"ada",23448275.86,14166666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0617",618,"Rumah Tebet Timur Dalam Dekat Pspt dan stasiun tebet",6500000000,338,219,5,3,3,"ada",19230769.23,29680365.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0618",619,"Rumah lama hitung tanah kb. Baru Tebet",3550000000,352,250,5,1,3,"ada",10085227.27,14200000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"RMT0619",620,"Rumah Mewah Fullfurnish Tebet Jakarta Selatan",23000000000,498,1000,8,9,5,"ada",46184738.96,23000000,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"RMT0620",621,"Siap Huni Depan Taman Tebet Dalam",4200000000,115,220,4,3,0,"tidak_ada",36521739.13,19090909.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
