"term","estimate","se_hc3","statistic","p_value","conf_low_95","conf_high_95","effect_basis","effect_percent"
"(Intercept)",15.9181831933105,0.149421229769995,106.532272675131,0,15.6249392627409,16.2114271238801,"intercept",
"log_luas_tanah",0.523433504868021,0.0275762941634048,18.9812852215163,0.0000000000000000000000000000000000000000000000000000000000000000000418204048275618,0.469314147776199,0.577552861959844,"persen_y_per_kenaikan_1_persen_x",0.523433504868021
"log_luas_bangunan",0.678151411524814,0.0403724049007819,16.797399441312,0.000000000000000000000000000000000000000000000000000000181304876038844,0.59891927886282,0.757383544186808,"persen_y_per_kenaikan_1_persen_x",0.678151411524814
"kamar_tidur",-0.0191497664330204,0.0121824284063011,-1.57191700983981,0.116311767829429,-0.0430581708494886,0.00475863798344781,"persen_y_per_kenaikan_1_unit_atau_kategori",-1.89675744870608
"kamar_mandi",0.0259987986982216,0.0141085986162042,1.84276265882007,0.0656835121064218,-0.00168977620785921,0.0536873736043024,"persen_y_per_kenaikan_1_unit_atau_kategori",2.6339715528976
"garasiada",0.0952124321136479,0.0303264780972579,3.1395809235843,0.00174556866028967,0.0356957513095655,0.15472911291773,"persen_y_per_kenaikan_1_unit_atau_kategori",9.98924827951202
