"model","model_label","jumlah_fold","mae_mean","mae_sd","rmse_mean","rmse_sd","rmsle_mean","rmsle_sd","r2_mean","r2_sd","mape_mean","mape_sd","total_prediksi_negatif_sebelum_batas","rank_mae","rank_rmsle"
"random_forest_log","Random Forest log",50,5923033767.07923,1168417342.83068,13208420102.5819,4699168409.26043,0.415622368421984,0.0344540852789007,0.565965960726535,0.12683747663062,35.6017340279257,3.7475693625045,0,1,3
"linear_raw","Linear mentah",50,6261207918.44022,1251175444.45517,13686634822.2743,4945024270.73725,2.127140163763,1.11465727996084,0.533904518901965,0.149037238912868,40.2066797435539,4.49466049511242,65,2,4
"linear_log","Log-linear",50,6301494874.23161,1624987641.48089,15337195956.2198,9491613491.77349,0.40998155383544,0.035185690514398,0.359368457663263,0.738438872852851,35.4771642514574,4.16156697244789,0,3,1
"spline_log","Spline log",50,6322682802.85089,1950775590.82792,16330377620.1659,12598895203.4933,0.410978535831817,0.036090876144016,0.211864112142385,1.26842293630561,35.2233899119806,4.21725010756873,0,4,2
