"model","model_label","calibration_intercept","calibration_slope","calibration_r_squared","mean_log_error","median_prediction_actual_ratio"
"linear_raw","Linear mentah",18.7806983717885,0.190696068560014,0.315030238001635,-0.121437247367678,1.07021305894711
"linear_log","Log-linear",-0.31827336348178,1.00988828110274,0.81492248673029,0.0882166524895132,1.05879809691638
"spline_log","Spline log",-0.268674044262133,1.00773388496288,0.813636720474061,0.0887366129581127,1.07373857401849
"random_forest_log","Random Forest log",-0.170652423021374,1.00301385575846,0.815900550569413,0.100496276413531,1.09554204987094
