"variabel","mean_training","mean_holdout","median_training","median_holdout","standardized_mean_difference"
"harga",17837966442.953,16383489247.3118,13000000000,12995000000,-0.0760454030125775
"luas_tanah",544.340939597315,499.908602150538,400,402,-0.0899484622618645
"luas_bangunan",493.218791946309,471.043010752688,400,438,-0.054747113243841
"kamar_tidur",4.4255033557047,4.66129032258065,4,4,0.094793145241595
"kamar_mandi",3.89261744966443,4.03763440860215,4,4,0.0613176790431724
"proporsi_garasi_ada",0.761073825503356,0.790322580645161,,,0.0701635740482996
