"dataset","garasi","jumlah","persentase","median_harga","mean_harga","q1_harga","q3_harga","median_luas_tanah","median_luas_bangunan","median_harga_per_m2_tanah","median_harga_per_m2_bangunan"
"harga_rumah_jaksel","tidak_ada",217,23.31,9550000000,13774811059.9078,4750000000,19000000000,340,350,27687296.42,24571428.57
"harga_rumah_jaksel","ada",714,76.69,14000000000,18693949579.8319,7085000000,20675000000,404.5,442,32238058.55,30000000
"data_rumah","tidak_ada",131,13,3500000000,6161587786.25954,2075000000,7500000000,150,175,22727272.73,20000000
"data_rumah","ada",877,87,5200000000,7856452553.252,3500000000,9000000000,170,220,30000000,22500000
